ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
1256,1245132,2,13,12.3,0,6,1,,0,0,,,,0,,,[],"Dr Vijay Patel to Rakesh Chaudhary, SIX,  to Deep square leg"
1255,1245132,2,13,12.2,0,0,0,,0,0,,,,0,,,[],"Dr Vijay Patel to Rakesh Chaudhary, no run"
1254,1245132,2,13,12.1,0,1,0,,0,0,,,,0,,,[],"Dr Vijay Patel to AfzaL Keasri, 1 run"
1253,1245132,2,12,12.0,0,0,0,,0,0,,,,0,,,[],"Krish Kalwani to Rakesh Chaudhary, no run"
1252,1245132,2,12,11.5,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, 1 run"
1251,1245132,2,12,11.4,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to Rakesh Chaudhary, 1 run"
1250,1245132,2,12,11.3,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, 1 run"
1249,1245132,2,12,11.2,0,0,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, no run"
1248,1245132,2,12,11.1,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to Rakesh Chaudhary, 1 run"
1247,1245132,2,11,11.0,0,1,0,,0,0,,,,0,,,[],"Dr Vijay Patel to Rakesh Chaudhary, 1 run"
1246,1245132,2,11,10.5,0,4,1,,0,0,,,,0,,,[],"Dr Vijay Patel to Rakesh Chaudhary, FOUR,  to Third man"
1245,1245132,2,11,10.4,0,0,0,,0,0,,,,0,,,[],"Dr Vijay Patel to Rakesh Chaudhary, no run"
1244,1245132,2,11,10.4,0,0,0,WD,0,0,,,,0,,,[],"Dr Vijay Patel to Rakesh Chaudhary, wide"
1243,1245132,2,11,10.3,0,1,0,,0,0,,,,0,,,[],"Dr Vijay Patel to AfzaL Keasri, 1 run"
1242,1245132,2,11,10.3,0,0,0,WD,0,0,,,,0,,,[],"Dr Vijay Patel to AfzaL Keasri, wide"
1241,1245132,2,11,10.2,0,0,0,,0,0,,,,0,,,[],"Dr Vijay Patel to AfzaL Keasri, no run"
1240,1245132,2,11,10.1,0,0,0,,0,0,,,,0,,,[],"Dr Vijay Patel to AfzaL Keasri, no run"
1239,1245132,2,10,10.0,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, 1 run"
1238,1245132,2,10,10.0,0,0,0,WD,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, wide"
1237,1245132,2,10,9.5,0,0,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, no run"
1236,1245132,2,10,9.4,0,6,1,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, SIX,  to Deep mid wicket"
1235,1245132,2,10,9.3,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to Rakesh Chaudhary, 1 run"
1234,1245132,2,10,9.2,0,1,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, 1 run"
1233,1245132,2,10,9.1,0,0,0,,0,0,,,,0,,,[],"Krish Kalwani to AfzaL Keasri, no run"
1232,1245132,2,9,9.0,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, no run"
1231,1245132,2,9,8.5,0,4,1,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, FOUR,  to Deep backward square leg"
1230,1245132,2,9,8.5,0,0,0,NB,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, (no ball)"
1229,1245132,2,9,8.4,0,4,1,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, FOUR,  to Deep extra cover"
1228,1245132,2,9,8.3,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, 1 run"
1227,1245132,2,9,8.2,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, no run"
1226,1245132,2,9,8.1,0,4,1,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, FOUR,  to Deep extra cover"
1225,1245132,2,8,8.0,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run"
1224,1245132,2,8,8.0,0,0,0,WD,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, wide"
1223,1245132,2,8,7.5,0,1,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, 1 run"
