ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
1167,9829157,1,20,20.0,0,0,0,,0,1,Rudra Patel c Salim Malek b A.J DAVE  (4r 7b 0x4s 0x6s SR: 57.14),,Caught out,10927432,,,[],"A.J DAVE  to Rudra Patel, OUT Caught out, Caught at Deep mid wicket by Salim Malek"
1166,9829157,1,20,19.5,0,1,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, 1 run"
1165,9829157,1,20,19.4,0,0,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, no run"
1164,9829157,1,20,19.3,0,0,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, no run"
1163,9829157,1,20,19.2,0,0,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, no run"
1162,9829157,1,20,19.1,0,1,0,,0,0,,,,0,,,[],"A.J DAVE  to Rudra Patel, 1 run"
1161,9829157,1,19,19.0,0,0,0,,0,0,,,,0,,,[],"Salim Malek to Krish Kalwani, no run"
1160,9829157,1,19,18.5,0,1,0,,0,0,,,,0,,,[],"Salim Malek to Rudra Patel, 1 run"
1159,9829157,1,19,18.4,0,0,0,,0,0,,,,0,,,[],"Salim Malek to Rudra Patel, no run"
1158,9829157,1,19,18.3,0,0,0,,0,0,,,,0,,,[],"Salim Malek to Rudra Patel, no run"
1157,9829157,1,19,18.2,0,1,0,,0,0,,,,0,,,[],"Salim Malek to Krish Kalwani, 1 run"
1156,9829157,1,19,18.1,0,1,0,,0,0,,,,0,,,[],"Salim Malek to Rudra Patel, 1 run"
1155,9829157,1,18,18.0,0,0,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, no run"
1154,9829157,1,18,17.5,0,1,0,,0,0,,,,0,,,[],"A.J DAVE  to Rudra Patel, 1 run"
1153,9829157,1,18,17.4,0,0,0,,0,1,Rohan Chauhan c (sub) Aasif  Mitha b A.J DAVE  (0r 2b 0x4s 0x6s SR: 0.00),,Caught out by sub,24413201,,,[],"A.J DAVE  to Rohan Chauhan, OUT Caught out by sub, Caught at Point by Aasif  Mitha"
1152,9829157,1,18,17.3,0,1,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, 1 run"
1151,9829157,1,18,17.2,0,0,0,,0,0,,,,0,,,[],"A.J DAVE  to Krish Kalwani, no run"
